iter	Logloss
0	0.6762381239
1	0.6610023747
2	0.6469359154
3	0.6333965954
4	0.6209413108
5	0.6101115329
6	0.6000489486
7	0.5909603227
8	0.58269477
9	0.5751138364
10	0.5689676528
11	0.5630326157
12	0.5574137859
13	0.5521934359
14	0.5473931389
15	0.5430239026
16	0.5389713564
17	0.5353677145
18	0.531728303
19	0.5281489828
20	0.5246435512
21	0.5218776204
22	0.5188373671
23	0.516198607
24	0.5140066298
25	0.5117962729
26	0.5098879788
27	0.5081044077
28	0.5064434862
29	0.5046570959
30	0.5029629586
31	0.5011633374
32	0.4996514706
33	0.4984247345
34	0.4970178609
35	0.4957316725
36	0.494242951
37	0.493126183
38	0.4919546385
39	0.4908373809
40	0.4897691107
41	0.4889127849
42	0.4879567239
43	0.4870819418
44	0.4862369784
45	0.4853743385
46	0.4845964899
47	0.4838815802
48	0.4830432447
49	0.4824054742
50	0.4815473767
51	0.4808737816
52	0.4801969795
53	0.4795752708
54	0.4789350146
55	0.478276599
56	0.4776631164
57	0.4771338818
58	0.4765360323
59	0.4758815305
60	0.4754080676
61	0.4748870351
62	0.4743973575
63	0.4739254346
64	0.4734730591
65	0.472977128
66	0.4725311851
67	0.4720559244
68	0.4714981807
69	0.4710430006
70	0.4705629
71	0.4701781103
72	0.4698228619
73	0.4694539926
74	0.4691233722
75	0.4688319139
76	0.4684278874
77	0.4680881962
78	0.4676255739
79	0.4672516581
80	0.4668539056
81	0.4665447874
82	0.4661139685
83	0.4658480735
84	0.4654607595
85	0.4652229162
86	0.465021664
87	0.4646613327
88	0.4644110364
89	0.4640888952
90	0.4638396081
91	0.4635955488
92	0.4633126685
93	0.4630391301
94	0.4626932924
95	0.4625080563
96	0.4622740149
97	0.4619940008
98	0.4618039029
99	0.4615732896
100	0.4613615563
101	0.4611042458
102	0.4608389566
103	0.460668713
104	0.4604601391
105	0.460175795
106	0.4599079091
107	0.4596333282
108	0.459409765
109	0.4591738159
110	0.4589178402
111	0.458734585
112	0.4584904292
113	0.4582418592
114	0.4580116128
115	0.4577934802
116	0.4575616291
117	0.4573260321
118	0.4571136246
119	0.4569652175
120	0.4568194881
121	0.4565556993
122	0.456350361
123	0.4561319897
124	0.4558677682
125	0.4557091898
126	0.4555375942
127	0.4553488731
128	0.4551526615
129	0.4549487711
130	0.4547514553
131	0.4545900387
132	0.4544389239
133	0.4542820163
134	0.4540480823
135	0.4539300766
136	0.4537571617
137	0.4535765637
138	0.4533749931
