iter	Passed	Remaining
0	8	8625
1	16	8354
2	25	8358
3	33	8222
4	40	8131
5	48	8057
6	56	7986
7	62	7801
8	71	7823
9	78	7766
10	86	7768
11	93	7725
12	101	7729
13	109	7688
14	117	7720
15	125	7738
16	133	7696
17	141	7703
18	149	7698
19	156	7678
20	164	7660
21	171	7635
22	179	7636
23	188	7665
24	196	7652
25	204	7648
26	212	7661
27	220	7657
28	228	7659
29	237	7670
30	244	7654
31	253	7664
32	261	7649
33	269	7655
34	287	7925
35	295	7920
36	303	7903
37	312	7898
38	319	7881
39	328	7887
40	336	7872
41	345	7882
42	354	7879
43	362	7881
44	371	7889
45	380	7894
46	389	7889
47	398	7897
48	407	7909
49	417	7928
50	425	7921
51	434	7915
52	443	7921
53	451	7911
54	459	7898
55	467	7882
56	476	7876
57	484	7873
58	494	7880
59	503	7889
60	511	7881
61	520	7870
62	528	7859
63	536	7847
64	544	7828
65	551	7811
66	559	7797
67	567	7778
68	575	7765
69	584	7760
70	592	7746
71	599	7732
72	607	7711
73	615	7698
74	623	7693
75	631	7681
76	639	7667
77	647	7656
78	655	7646
79	664	7637
80	672	7624
81	680	7618
82	689	7621
83	697	7603
84	705	7597
85	714	7594
86	722	7578
87	730	7571
88	738	7559
89	746	7547
90	753	7527
91	761	7514
92	768	7496
93	775	7477
94	783	7463
95	791	7453
96	799	7442
97	807	7432
98	815	7424
99	823	7412
100	831	7404
101	840	7399
102	848	7390
103	857	7385
104	864	7372
105	872	7362
106	881	7355
107	889	7348
108	898	7342
109	906	7337
110	915	7334
111	924	7329
112	932	7317
113	941	7317
114	949	7303
115	956	7291
116	963	7273
117	971	7258
118	979	7251
119	987	7243
120	994	7227
121	1002	7215
122	1010	7204
123	1017	7191
124	1025	7180
125	1033	7166
126	1041	7159
127	1049	7149
128	1057	7140
129	1065	7131
130	1072	7116
131	1080	7103
132	1088	7096
133	1096	7085
134	1104	7077
135	1112	7065
136	1129	7117
137	1143	7143
138	1152	7140
139	1160	7131
140	1168	7119
141	1175	7102
142	1182	7087
143	1190	7074
144	1197	7061
145	1205	7049
146	1212	7038
147	1220	7027
148	1228	7014
149	1236	7005
150	1243	6993
151	1251	6983
152	1259	6973
153	1267	6961
154	1274	6947
155	1281	6934
156	1289	6923
157	1297	6913
158	1305	6903
159	1313	6893
160	1321	6884
161	1329	6874
162	1337	6866
163	1345	6856
164	1353	6847
165	1360	6834
166	1366	6818
167	1374	6808
168	1381	6792
169	1388	6780
170	1396	6769
171	1418	6828
172	1426	6817
173	1433	6804
174	1441	6794
175	1449	6785
176	1456	6770
177	1464	6764
178	1472	6751
179	1479	6740
180	1487	6728
181	1495	6721
182	1503	6710
183	1511	6702
184	1519	6693
185	1527	6685
186	1535	6677
187	1543	6667
188	1551	6659
189	1559	6649
190	1567	6638
191	1574	6624
192	1581	6612
193	1588	6600
194	1596	6590
195	1604	6580
196	1611	6569
197	1618	6557
198	1626	6546
199	1634	6536
200	1642	6529
201	1650	6520
202	1657	6508
203	1665	6497
204	1672	6487
205	1681	6479
206	1689	6473
207	1698	6465
208	1706	6458
209	1715	6451
210	1723	6443
211	1730	6434
212	1739	6426
213	1747	6418
214	1755	6409
215	1762	6398
216	1771	6393
217	1779	6382
218	1786	6371
219	1794	6361
220	1802	6352
221	1809	6341
222	1816	6330
223	1824	6321
224	1832	6311
225	1839	6300
226	1846	6289
227	1854	6280
228	1861	6267
229	1869	6257
230	1876	6246
231	1883	6236
232	1891	6228
233	1900	6219
234	1908	6211
235	1916	6202
236	1923	6193
237	1931	6184
238	1939	6176
239	1947	6168
240	1955	6158
241	1963	6151
242	1971	6142
243	1979	6133
244	1987	6123
245	1994	6112
246	2002	6104
247	2009	6094
248	2017	6085
249	2025	6075
250	2033	6067
251	2040	6057
252	2048	6048
253	2055	6038
254	2063	6028
255	2071	6019
256	2078	6010
257	2085	5998
258	2093	5989
259	2102	5982
260	2109	5974
261	2117	5964
262	2125	5956
263	2133	5948
264	2141	5939
265	2149	5931
266	2157	5923
267	2165	5915
268	2187	5944
269	2194	5934
270	2203	5926
271	2210	5916
272	2218	5906
273	2225	5897
274	2233	5888
275	2241	5878
276	2248	5869
277	2257	5861
278	2264	5852
279	2272	5843
280	2280	5834
281	2287	5824
282	2295	5815
283	2302	5806
284	2311	5798
285	2319	5790
286	2327	5782
287	2335	5774
288	2343	5766
289	2352	5759
290	2360	5750
291	2368	5741
292	2376	5734
293	2384	5726
294	2392	5717
295	2400	5709
296	2410	5705
297	2418	5697
298	2426	5688
299	2433	5678
300	2442	5671
301	2450	5662
302	2457	5654
303	2465	5644
304	2473	5635
305	2480	5625
306	2487	5616
307	2495	5607
308	2503	5598
309	2511	5589
310	2519	5580
311	2526	5572
312	2534	5563
313	2543	5556
314	2571	5591
315	2582	5590
316	2594	5590
317	2606	5591
318	2618	5589
319	2628	5585
320	2639	5584
321	2654	5588
322	2668	5592
323	2678	5588
324	2686	5579
325	2694	5570
326	2702	5562
327	2710	5554
328	2719	5546
329	2728	5538
330	2736	5530
331	2744	5522
332	2752	5513
333	2760	5504
334	2768	5494
335	2776	5487
336	2784	5479
337	2792	5469
338	2800	5460
339	2809	5453
340	2817	5444
341	2825	5435
342	2833	5427
343	2842	5419
344	2850	5412
345	2858	5403
346	2866	5395
347	2875	5386
348	2883	5378
349	2891	5369
350	2898	5360
351	2906	5351
352	2914	5342
353	2922	5333
354	2930	5325
355	2939	5316
356	2947	5308
357	2954	5299
358	2962	5289
359	2970	5280
360	2977	5270
361	2985	5260
362	2992	5252
363	2999	5241
364	3007	5232
365	3015	5223
366	3023	5214
367	3030	5204
368	3038	5196
